"name","url","poem"
"AF-S DX NIKKOR 18-300mm f/3.5-6.3G ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_dx_nikkor_18-300mm_f35-63g_ed_vr/","広角から望遠まで多彩に楽しむ高倍率ズームレンズ"
"AF-S NIKKOR 28-300mm f/3.5-5.6G ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_28-300mm_f35-56g_ed_vr/","多くのシーンを1本でこなせる高倍率ズームレンズ"
"AI AF Nikkor 14mm f/2.8D ED","https://www.nikon-image.com/products/nikkor/fmount/ai_af_nikkor_14mm_f28d_ed/","超広角ならではのダイナミズムを楽しむ"
"AF-S NIKKOR 20mm f/1.8G ED","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_20mm_f18g_ed/","小型・軽量・高画質を実現した大口径超広角単焦点レンズ"
"AI AF Nikkor 20mm f/2.8D","https://www.nikon-image.com/products/nikkor/fmount/ai_af_nikkor_20mm_f28d/","超広角ならではのダイナミズムを楽しむ"
"AF-S NIKKOR 24mm f/1.4G ED","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_24mm_f14g_ed/","大きく美しいボケ味も楽しめる、明るい大口径広角レンズ"
"AF-S NIKKOR 24mm f/1.8G ED","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_24mm_f18g_ed/","小型・軽量・高画質を実現した、気軽に楽しめる大口径広角レンズ"
"AI AF Nikkor 24mm f/2.8D","https://www.nikon-image.com/products/nikkor/fmount/ai_af_nikkor_24mm_f28d/","ちょっと広めの画角が心地よい、気軽に使える広角レンズ"
"AF-S NIKKOR 28mm f/1.4E ED","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_28mm_f14e_ed/","圧倒的な描写力と自然なボケで28mmを極める大口径広角レンズ"
"AF-S NIKKOR 28mm f/1.8G","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_28mm_f18g/","解像力の高い単焦点レンズならではのシャープなピントと、開放F値1.8 の美しい自然なボケ味が楽しめる、画角75°（FXフォーマット時）の大口径広角レンズです。ナノクリスタルコートの採用で、ゴーストやフレアの少ないクリアーな画像を実現しています。"
"AI AF Nikkor 28mm f/2.8D","https://www.nikon-image.com/products/nikkor/fmount/ai_af_nikkor_28mm_f28d/","ちょっと広めの画角が心地よい、気軽に使える広角レンズ"
"AF-S NIKKOR 35mm f/1.4G","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_35mm_f14g/","風景、夜景、星の撮影に最適な大口径広角レンズ"
"AF-S NIKKOR 35mm f/1.8G ED","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_35mm_f18g_ed/","高い解像力とやわらかいボケ味が両立した大口径広角レンズ"
"AF-S DX NIKKOR 35mm f/1.8G","https://www.nikon-image.com/products/nikkor/fmount/af-s_dx_nikkor_35mm_f18g/","軽量・コンパクトなニコンDXフォーマット標準レンズ"
"AI AF Nikkor 35mm f/2D","https://www.nikon-image.com/products/nikkor/fmount/ai_af_nikkor_35mm_f2d/","ちょっと広めの画角が心地よい、気軽に使える広角レンズ"
"AF-S NIKKOR 50mm f/1.4G","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_50mm_f14g/","一眼レフカメラを楽しむなら、1本は持っておきたい標準レンズ"
"AI AF Nikkor 50mm f/1.4D","https://www.nikon-image.com/products/nikkor/fmount/ai_af_nikkor_50mm_f14d/","一眼レフカメラを楽しむなら、1本は持っておきたい標準レンズ"
"AF-S NIKKOR 50mm f/1.8G (Special Edition)","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_50mm_f18g_special_edition/","Dfの外観にフィットする大口径標準単焦点レンズ"
"AF-S NIKKOR 50mm f/1.8G","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_50mm_f18g/","静粛なAF撮影ができるSWM 搭載の大口径単焦点レンズ"
"AI AF Nikkor 50mm f/1.8D","https://www.nikon-image.com/products/nikkor/fmount/ai_af_nikkor_50mm_f18d/","一眼レフカメラを楽しむなら、1本は持っておきたい標準レンズ"
"AF-S NIKKOR 58mm f/1.4G","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_58mm_f14g/","高い点像再現性と自然なボケを両立する大口径標準単焦点レンズ"
"AF-S NIKKOR 85mm f/1.4G","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_85mm_f14g/","ポートレートの撮影に最適な中望遠レンズ"
"AF-S NIKKOR 85mm f/1.8G","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_85mm_f18g/","ポートレートの撮影に最適な中望遠レンズ"
"AF-S NIKKOR 105mm f/1.4E ED","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_105mm_f14e_ed/","自然な空間描写と高い光学性能、新次元の大口径中望遠レンズ"
"AI AF DC-Nikkor 105mm f/2D","https://www.nikon-image.com/products/nikkor/fmount/ai_af_dc-nikkor_105mm_f2d/","ボケ味を多彩にコントロールできるDCレンズ"
"AI AF DC-Nikkor 135mm f/2D","https://www.nikon-image.com/products/nikkor/fmount/ai_af_dc-nikkor_135mm_f2d/","ボケ味を多彩にコントロールできるDCレンズ"
"AI AF Nikkor 180mm f/2.8D IF-ED","https://www.nikon-image.com/products/nikkor/fmount/ai_af_nikkor_180mm_f28d_if-ed/","室内スポーツ、舞台撮影に活躍する伝統のED望遠レンズ"
"AF-S NIKKOR 200mm f/2G ED VR II","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_200mm_f2g_ed_vr_2/","VR機構搭載、ナノクリスタルコート採用で大きく進化した200mm"
"AF-S NIKKOR 300mm f/2.8G ED VR II","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_300mm_f28g_ed_vr_2/","描写力を追求した大口径望遠レンズ"
"AF-S NIKKOR 300mm f/4E PF ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_300mm_f4e_pf_ed_vr/","PFレンズ採用で大幅な軽量・小型化を実現した望遠単焦点レンズ"
"AI AF-S Nikkor 300mm f/4D IF-ED","https://www.nikon-image.com/products/nikkor/fmount/ai_af-s_nikkor_300mm_f4d_if-ed/","操作性に優れた気軽な望遠レンズ"
"AF-S NIKKOR 400mm f/2.8E FL ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_400mm_f28e_fl_ed_vr/","大幅に軽量化を実現した、新世代の高性能超望遠レンズ"
"AF-S NIKKOR 500mm f/4E FL ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_500mm_f4e_fl_ed_vr/","大幅な軽量化と高い光学性能を実現した、新世代の高性能超望遠レンズ"
"AF-S NIKKOR 500mm f/5.6E PF ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_500mm_f56e_pf_ed_vr/","手持ち撮影が楽しめる、本格的な超望遠500mm単焦点レンズ"
"AF-S NIKKOR 600mm f/4E FL ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_600mm_f4e_fl_ed_vr/","大幅な軽量化と高い光学性能を実現した、新世代の高性能超望遠レンズ"
"AF-S NIKKOR 800mm f/5.6E FL ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_800mm_f56e_fl_ed_vr/","伝統の中に革新が光る、プロフェッショナル愛用の超望遠レンズ"
"AF-S DX Micro NIKKOR 40mm f/2.8G","https://www.nikon-image.com/products/nikkor/fmount/af-s_dx_micro_nikkor_40mm_f28g/","クローズアップ撮影以外も楽しいコンパクトなマイクロレンズ"
"AF-S Micro NIKKOR 60mm f/2.8G ED","https://www.nikon-image.com/products/nikkor/fmount/af-s_micro_nikkor_60mm_f28g_ed/","クローズアップ撮影以外も楽しいコンパクトなマイクロレンズ"
"AI AF Micro-Nikkor 60mm f/2.8D","https://www.nikon-image.com/products/nikkor/fmount/ai_af_micro-nikkor_60mm_f28d/","クローズアップ撮影以外も楽しいコンパクトなマイクロレンズ"
"AF-S DX Micro NIKKOR 85mm f/3.5G ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_dx_micro_nikkor_85mm_f35g_ed_vr/","アートなクローズアップ撮影を気軽に楽しめるDXマイクロレンズ"
"AF-S VR Micro-Nikkor 105mm f/2.8G IF-ED","https://www.nikon-image.com/products/nikkor/fmount/af-s_vr_micro-nikkor_105mm_f28g_if-ed/","シャープな中にも味わいのある描写が魅力のマイクロレンズ"
"AI AF Micro-Nikkor 200mm f/4D IF-ED","https://www.nikon-image.com/products/nikkor/fmount/ai_af_micro-nikkor_200mm_f4d_if-ed/","近寄れない世界を引き寄せる望遠マイクロレンズ"
"PC NIKKOR 19mm f/4E ED","https://www.nikon-image.com/products/nikkor/fmount/pc_nikkor_19mm_f4e_ed/","高い光学性能と多様な撮影意図に応える機能性を両立した超広角PCレンズ"
"PC-E NIKKOR 24mm f/3.5D ED","https://www.nikon-image.com/products/nikkor/fmount/pc-e_nikkor_24mm_f35d_ed/","手軽な｢アオリ撮影｣を実現するPC-Eレンズシリーズ"
"PC-E Micro NIKKOR 45mm f/2.8D ED","https://www.nikon-image.com/products/nikkor/fmount/pc-e_micro_nikkor_45mm_f28d_ed/","手軽な「アオリ撮影」を実現するPC-E レンズシリーズ"
"PC-E Micro NIKKOR 85mm f/2.8D","https://www.nikon-image.com/products/nikkor/fmount/pc-e_micro_nikkor_85mm_f28d/","手軽な「アオリ撮影」を実現するPC-E レンズシリーズ"
"AF-S Fisheye NIKKOR 8-15mm f/3.5-4.5E ED","https://www.nikon-image.com/products/nikkor/fmount/af-s_fisheye_nikkor_8-15mm_f35-45e_ed/","円周魚眼、対角線魚眼の2種類の魚眼効果が1本で得られる、フィッシュアイズームレンズ"
"AF DX Fisheye-Nikkor 10.5mm f/2.8G ED","https://www.nikon-image.com/products/nikkor/fmount/af_dx_fisheye-nikkor_105mm_f28g_ed/","なんでも撮ってみたくなる、DX専用の小型魚眼レンズ"
"AI AF Fisheye-Nikkor 16mm f/2.8D","https://www.nikon-image.com/products/nikkor/fmount/ai_af_fisheye-nikkor_16mm_f28d/","遠景から近景まで、シャープに捉えるFX魚眼レンズ"
"AI Nikkor 20mm f/2.8S","https://www.nikon-image.com/products/nikkor/fmount/ai_nikkor_20mm_f28s/","F2.8という大口径の明るさを備えたコンパクトな超広角レンズ"
"AI Nikkor 24mm f/2.8S","https://www.nikon-image.com/products/nikkor/fmount/ai_nikkor_24mm_f28s/","常用レンズとして持ち歩きたい、手頃な価格の広角レンズ"
"AI Nikkor 50mm f/1.2S","https://www.nikon-image.com/products/nikkor/fmount/ai_nikkor_50mm_f12s/","ニッコールレンズ中、最高の明るさF1.2を持つ標準レンズ"
"AI Nikkor 50mm f/1.4S","https://www.nikon-image.com/products/nikkor/fmount/ai_nikkor_50mm_f14s/","高性能、小型、軽量化を追求した、標準レンズのスタンダード"
"AI Micro-Nikkor 55mm f/2.8S","https://www.nikon-image.com/products/nikkor/fmount/ai_micro-nikkor_55mm_f28s/","風景・スナップなどの一般撮影にも便利なマイクロレンズ"
"NIKKOR Z 14-30mm f/4 S","https://www.nikon-image.com/products/nikkor/zmount/nikkor_z_14-30mm_f4_s/","小型軽量で光学性能に優れた、フィルター装着が可能な超広角ズームレンズ"
"NIKKOR Z 24-70mm f/2.8 S","https://www.nikon-image.com/products/nikkor/zmount/nikkor_z_24-70mm_f28_s/","広範な撮影シーンで卓越した光学性能を発揮するニコン Z シリーズカメラ用標準ズームレンズ"
"NIKKOR Z 24-70mm f/4 S","https://www.nikon-image.com/products/nikkor/zmount/nikkor_z_24-70mm_f4_s/","描写力と携行性に優れた高性能な常用標準ズームレンズ"
"NIKKOR Z 35mm f/1.8 S","https://www.nikon-image.com/products/nikkor/zmount/nikkor_z_35mm_f18_s/","幅広いシーンで威力を発揮する新世代大口径広角レンズ"
"NIKKOR Z 50mm f/1.8 S","https://www.nikon-image.com/products/nikkor/zmount/nikkor_z_50mm_f18_s/","開放のボケ味も高画質で楽しめる新世代大口径標準レンズ"
