"name","url","poem"
"EF300mm F2.8L IS II USM","https://cweb.canon.jp/ef/lineup/telephoto/ef300-f28l-is-ii/","フィールドでの撮影を更に快適にする大口径・望遠単焦点レンズ。"
"EF300mm F4L IS USM","https://cweb.canon.jp/ef/lineup/telephoto/ef300-f4l/","ISも搭載したコンパクトな望遠単焦点レンズ。"
"EF400mm F2.8L IS III USM","https://cweb.canon.jp/ef/lineup/super-tele/ef400-f28l-is-iii/","大幅な軽量化と新設計による高画質化を実現した超望遠レンズ。"
"EF400mm F2.8L IS II USM","https://cweb.canon.jp/ef/lineup/super-tele/ef400-f28l-is-ii/","フィールドでの撮影をさらに快適にする大口径・望遠単焦点レンズ。"
"EF400mm F4 DO IS II USM","https://cweb.canon.jp/ef/lineup/super-tele/ef400-f4-do-is-ii-usm/","フレアの抑制と高解像感を実現した、小型・軽量超望遠レンズ。"
"EF400mm F5.6L USM","https://cweb.canon.jp/ef/lineup/super-tele/ef400-f56l/","高い機動力を備えた超望遠単焦点レンズ。"
"EF500mm F4L IS II USM","https://cweb.canon.jp/ef/lineup/super-tele/ef500-f4l-is-ii/","近づけない被写体の撮影で活躍する超望遠レンズ。"
"EF600mm F4L IS III USM","https://cweb.canon.jp/ef/lineup/super-tele/ef600-f4l-is-iii/","新規設計によるさらなる小型化と高画質化を果たした超望遠レンズ。"
"EF600mm F4L IS II USM","https://cweb.canon.jp/ef/lineup/super-tele/ef600-f4l-is-ii/","近づけない被写体の撮影で活躍する超望遠レンズ。"
"EF800mm F5.6L IS USM","https://cweb.canon.jp/ef/lineup/super-tele/ef800-f56l/","野鳥・動物・スポーツなどの撮影に最適な超望遠単焦点レンズ。"
"EF100mm F2.8L マクロ IS USM","https://cweb.canon.jp/ef/lineup/macro/ef100-f28l/",""
"EF100mm F2.8 マクロ USM","https://cweb.canon.jp/ef/lineup/macro/ef100-f28/","素早いピント合わせが可能な中望遠マクロレンズ。"
