"name","url","poem"
"FE 70-200mm F4 G OSS","https://www.sony.jp/ichigan/products/SEL70200G/","手持ち撮影時に威力を発揮する、光学式手ブレ補正機能\nα7シリーズにふさわしい小型・軽量設計\nハイアマチュアユーザーのニーズに応える高い操作性を実現\nGレンズならではの卓越した描写性能と磨き抜かれた操作性を備えた望遠ズームレンズ\n「ナノARコーティング」採用により、フレア・ゴーストを抑えたヌケの良い高画質を実現"
"FE 70-300mm F4.5-5.6 G OSS","https://www.sony.jp/ichigan/products/SEL70300G/","テレ端でも、画面周辺まで高解像を実現\nリニアモーター採用により、高速・高精度で静粛性にも優れたAF\n望遠撮影時に便利なフォーカスホールドボタンやフォーカスレンジリミッターを搭載\n優れた近接撮影能力\nEマウントレンズ初、300mmまでカバーする高解像望遠ズームレンズ\nナノARコーティング採用により反射を抑えたヌケの良い描写性能\n望遠域の撮影などで威力を発揮する、光学式手ブレ補正機構搭載"
"FE 100-400mm F4.5-5.6 GM OSS","https://www.sony.jp/ichigan/products/SEL100400GM/","1.4倍と2倍のテレコンバーター（別売）に対応\n手持ち撮影時に便利な光学式手ブレ補正機構を搭載。流し撮りに効果的なMODE2も選択可能\n動画撮影に適したAF駆動\nフィールドワークをサポートする優れた操作性\nG Masterの高い設計基準を満たす新規光学設計により、ズーム・フォーカス全域での高い解像性能を実現\nレンズ最前面にフッ素コーティングを採用\nG Masterならではの美しいぼけ描写\nズームリングの回転の重さを調整できる、ズーム操作感調整リング搭載\n被写体のとっさの動きにも対応する、フォーカスレンズの素早い動き出しを実現\n質量約1,395ｇ（三脚座除く）を達成。軽量なEマウントボディと良好なバランスで、安定した撮影をサポート\nSEL20TC\nSEL14TC\n妥協のない光学設計と高速・高精度なAF駆動により、シャープな描写を実現した超望遠ズームレンズ\n脱着式三脚座を採用\nフローティング機構の採用により、最短撮影距離0.98ｍ、最大撮影倍率0.35倍を実現。近くの被写体もシャープに描写が可能\nピントを合わせ続ける追随性に優れたAF駆動"
"E 10-18mm F4 OSS","https://www.sony.jp/ichigan/products/SEL1018/",""
"E PZ 16-50mm F3.5-5.6 OSS","https://www.sony.jp/ichigan/products/SELP1650/",""
"Vario-Tessar T＊ E 16-70mm F4 ZA OSS","https://www.sony.jp/ichigan/products/SEL1670Z/","ズーム全域で使い勝手の良い開放F値4を実現\n光学式手ブレ補正機構内蔵で、暗いシーンもノイズを抑えて撮影可能\n持ち歩きやすいコンパクトなボディで幅広い撮影シーンに対応\n最新の光学設計とツァイスのノウハウが融合した高性能標準ズームレンズ\n高コントラストで抜けの良い優れた描写性能を維持しながら小型化を実現した、待望のツァイス標準ズームレンズ"
"E18-55mm F3.5-5.6 OSS","https://www.sony.jp/ichigan/products/SEL1855/",""
"E PZ 18-105mm F4 G OSS","https://www.sony.jp/ichigan/products/SELP18105G/","動画撮影にも威力を発揮。ズーム速度を自在にコントロールできる無段階変速タイプのズームレバー採用\n“ハンディカム”で培った、静かでなめらかなズーム＆フォーカス駆動\nズーム全域で使い勝手の良い開放F値4を実現\n光学式手ブレ補正機構内蔵で、暗いシーンもノイズを抑えて撮影可能\nEマウント用レンズ初のGレンズ。1本で多彩な撮影シーンに対応する、電動ズーム搭載の高性能中倍率ズームレンズ\nズーム全域での高い解像力とコントラストにこだわった高性能中倍率ズーム"
"E PZ 18-110mm F4 G OSS","https://www.sony.jp/ichigan/products/SELP18110G/","ズームリングの回転方向反転に対応\n便利な機能で撮影をサポート\nGレンズならではの優れた光学性能により、ズーム全域で画面周辺まで高解像を実現\n1/4インチネジのレンズサポート対応\n撮影中のレンズ動作による映像変動を徹底的に抑制する、ソニー独自のSMO機構を採用\nズーミング時にレンズ全長の変化がなく、安定した撮影が可能\n着脱可能な三脚座付き\nスライド式フォーカスリングとフォーカスギアで、高い操作性を備えたフォーカス機能\nSuper 35mm/APS-Cフォーマットに対応。広角側27mm、望遠側165mm相当（35mm判換算）（＊）の使用頻度が高い焦点距離をカバー\nサーボズームに加え、マニュアルズームにも対応\n光学式手ブレ補正機構を搭載\n各部名称\nプロの４K動画撮影に求められる高い操作性と描写性能を追求したSuper 35mm/APS-Cフォーマット電動ズームレンズ"
"E 18-135mm F3.5-5.6 OSS","https://www.sony.jp/ichigan/products/SEL18135/","リニアモーターを採用し、静音性に優れた高速かつ高精度なAF駆動\n小型かつ軽量な設計で、Eマウントシステム全体で高い携行性を実現\nED（特殊低分散）ガラスを効果的に配置し、色収差を良好に補正\n最短撮影距離0.45m、最大撮影倍率0.29倍の優れた近接撮影能力\n光学式手ブレ補正機構を搭載し、手持ち撮影を快適にサポート\n小型・軽量ながら光学7.5倍を実現。多彩な撮影シーンで活躍するAPS-Cフォーマット対応高倍率ズームレンズ\n非球面レンズを採用した新規光学設計により、ズーム全域で高い解像性能"
"E18-200mm F3.5-6.3 OSS","https://www.sony.jp/ichigan/products/SEL18200/",""
"E 18-200mm F3.5-6.3 OSS LE","https://www.sony.jp/ichigan/products/SEL18200LE/",""
"E PZ 18-200mm F3.5-6.3 OSS","https://www.sony.jp/ichigan/products/SELP18200/",""
"E 55-210mm F4.5-6.3 OSS","https://www.sony.jp/ichigan/products/SEL55210/",""
"FE 24mm F1.4 GM","https://www.sony.jp/ichigan/products/SEL24F14GM/","最新の光学設計とG Masterの高い設計基準で、高い解像感を実現\n開放F値1.4から妥協のない高解像性能を小型・軽量設計で実現した大口径広角単焦点レンズ\nEDガラスの最適な配置により、画面全域のシャープな描写が可能\n超高度非球面XAレンズの効果的な配置により、点光源を忠実に再現\nクリック切り換えもできる絞りリング\n大口径広角レンズならではのぼけ表現を生かした近距離撮影が可能\nフォーカスホールドボタンや絞りリング、クリック切り換えスイッチなどを搭載し、高い操作性を実現\nタイムラグが少なく応答性に優れたリニア・レスポンスMFを採用\nカスタマイズ可能なフォーカスホールドボタン\nフレアやゴーストを抑え、高い描写性能を発揮するナノARコーティングを採用\n最新の光学設計による小径化と新開発DDSSMの採用で、クラス最軽量（＊）を実現\n高速・高精度・静粛なAFを実現するハイパワーの新開発DDSSM\nAF/MFを瞬時に切り替えられるフォーカスモードスイッチ\n11枚羽根円形絞りと球面収差コントロールによる、柔らかく自然で美しいぼけ表現"
"FE 28mm F2","https://www.sony.jp/ichigan/products/SEL28F20/","超広角・フィッシュアイ撮影を手軽に楽しめる、2種類のコンバーターレンズを装着可能\nSEL057FEC（FE 28mm F2用）\nコンパクトなα7シリーズにマッチする、携帯性に優れた小型軽量デザイン\nフィッシュアイコンバーター\nSEL075UWC（FE 28mm F2用）\nウルトラワイドコンバーター\nいつでも持ち歩けるコンパクトサイズの35mmフルサイズ対応広角単焦点レンズ"
"Distagon T* FE 35mm F1.4 ZA","https://www.sony.jp/ichigan/products/SEL35F14Z/","ダイレクトドライブSSMによるフォーカス駆動\n即時性の高い操作を可能にする、絞りリングを搭載\n開放F1.4、35mmフルサイズ対応の大口径高性能広角単焦点レンズ\n画面中心から周辺まで、圧倒的な解像力を誇る光学性能"
